user_id,variant,segment,started_test,completed_test,viewed_report,purchased,refunded
control_0,control,returning,True,True,True,False,False
control_1,control,new,True,False,False,False,False
control_2,control,returning,False,False,False,False,False
control_3,control,returning,True,True,False,False,False
control_4,control,new,True,True,True,True,False
control_5,control,returning,True,True,True,False,False
control_6,control,returning,True,True,True,False,False
control_7,control,returning,True,False,False,False,False
control_8,control,new,True,False,False,False,False
control_9,control,new,True,True,True,False,False
control_10,control,new,True,False,False,False,False
control_11,control,returning,True,True,True,False,False
control_12,control,returning,False,False,False,False,False
control_13,control,returning,True,True,True,False,False
control_14,control,new,True,True,True,False,False
control_15,control,new,True,True,True,False,False
control_16,control,new,True,True,False,False,False
control_17,control,new,True,True,False,False,False
control_18,control,returning,True,True,True,False,False
control_19,control,returning,True,True,True,False,False
control_20,control,returning,True,True,True,False,False
control_21,control,new,True,True,True,False,False
control_22,control,returning,True,False,False,False,False
control_23,control,returning,False,False,False,False,False
control_24,control,returning,False,False,False,False,False
control_25,control,new,False,False,False,False,False
control_26,control,new,True,True,False,False,False
control_27,control,new,True,True,True,False,False
control_28,control,new,True,False,False,False,False
control_29,control,returning,False,False,False,False,False
control_30,control,returning,True,True,True,False,False
control_31,control,returning,True,True,True,False,False
control_32,control,new,True,True,True,True,False
control_33,control,new,True,True,True,False,False
control_34,control,new,True,True,True,False,False
control_35,control,new,True,False,False,False,False
control_36,control,new,True,True,True,False,False
control_37,control,new,False,False,False,False,False
control_38,control,new,True,True,True,False,False
control_39,control,returning,False,False,False,False,False
control_40,control,new,True,True,True,False,False
control_41,control,returning,False,False,False,False,False
control_42,control,returning,True,False,False,False,False
control_43,control,new,False,False,False,False,False
control_44,control,returning,True,False,False,False,False
control_45,control,returning,True,True,True,False,False
control_46,control,new,True,True,True,False,False
control_47,control,new,True,False,False,False,False
control_48,control,returning,True,True,True,False,False
control_49,control,new,True,True,True,False,False
control_50,control,new,False,False,False,False,False
control_51,control,new,True,True,True,False,False
control_52,control,returning,True,False,False,False,False
control_53,control,returning,True,True,True,False,False
control_54,control,returning,False,False,False,False,False
